"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 13 18:30:03 IST 2020","Mon Jan 13 18:30:10 IST 2020","6944","","Performing a login: Login with a dafault user","","Performing a login: Login with a dafault user","When I log in with a dafault user","When I log in with a dafault user",""
"passed","Mon Jan 13 18:30:27 IST 2020","Mon Jan 13 18:30:27 IST 2020","582","","Performing Demo Webshop validation: verify add-cart functionality","","Performing Demo Webshop validation: verify add-cart functionality","And User clicks on the Add to cart","And User clicks on the Add to cart",""
"passed","Mon Jan 13 18:30:12 IST 2020","Mon Jan 13 18:30:15 IST 2020","2802","","Performing Demo Webshop validation: Login with a valid user","","Performing Demo Webshop validation: Login with a valid user","Given I am on the login page of Demo Webshop","Given I am on the login page of Demo Webshop",""
"passed","Mon Jan 13 18:30:18 IST 2020","Mon Jan 13 18:30:23 IST 2020","5039","","Performing Demo Webshop validation: verify add-cart functionality","","Performing Demo Webshop validation: verify add-cart functionality","When User clicks on the Books in the homepage","When User clicks on the Books in the homepage",""
"passed","Mon Jan 13 18:30:23 IST 2020","Mon Jan 13 18:30:27 IST 2020","3176","","Performing Demo Webshop validation: verify add-cart functionality","","Performing Demo Webshop validation: verify add-cart functionality","And User clicks on the first item","And User clicks on the first item",""
"passed","Mon Jan 13 18:30:27 IST 2020","Mon Jan 13 18:30:28 IST 2020","1102","","Performing Demo Webshop validation: verify add-cart functionality","","Performing Demo Webshop validation: verify add-cart functionality","And User clicks on Shopping Cart","And User clicks on Shopping Cart",""
"passed","Mon Jan 13 18:30:10 IST 2020","Mon Jan 13 18:30:10 IST 2020","0","","Performing a login: Login with a dafault user","","Performing a login: Login with a dafault user","Hook","Hook",""
"passed","Mon Jan 13 18:29:59 IST 2020","Mon Jan 13 18:30:03 IST 2020","3167","","Performing a login: Login with a dafault user","","Performing a login: Login with a dafault user","Given I am on the login page","Given I am on the login page",""
"passed","Mon Jan 13 18:30:10 IST 2020","Mon Jan 13 18:30:10 IST 2020","493","","Performing a login: Login with a dafault user","","Performing a login: Login with a dafault user","Then I shall be on the Flight Finder page","Then I shall be on the Flight Finder page",""
"passed","Mon Jan 13 18:30:17 IST 2020","Mon Jan 13 18:30:18 IST 2020","1092","","Performing Demo Webshop validation: verify add-cart functionality","","Performing Demo Webshop validation: verify add-cart functionality","Given I am on the login page of Demo Webshop","Given I am on the login page of Demo Webshop",""
"passed","Mon Jan 13 18:30:28 IST 2020","Mon Jan 13 18:30:29 IST 2020","476","","Performing Demo Webshop validation: verify add-cart functionality","","Performing Demo Webshop validation: verify add-cart functionality","Then items should added to the shopping cart","Then items should added to the shopping cart",""
"passed","Mon Jan 13 18:30:15 IST 2020","Mon Jan 13 18:30:17 IST 2020","2092","","Performing Demo Webshop validation: Login with a valid user","","Performing Demo Webshop validation: Login with a valid user","When I log in with a valid user","When I log in with a valid user",""
"passed","Mon Jan 13 18:30:17 IST 2020","Mon Jan 13 18:30:17 IST 2020","500","","Performing Demo Webshop validation: Login with a valid user","","Performing Demo Webshop validation: Login with a valid user","Then I shall be on the Demo Webshop home page","Then I shall be on the Demo Webshop home page",""
"passed","Mon Jan 13 18:30:17 IST 2020","Mon Jan 13 18:30:17 IST 2020","0","","Performing Demo Webshop validation: Login with a valid user","","Performing Demo Webshop validation: Login with a valid user","Hook","Hook",""
"passed","Mon Jan 13 18:30:29 IST 2020","Mon Jan 13 18:30:29 IST 2020","0","","Performing Demo Webshop validation: verify add-cart functionality","","Performing Demo Webshop validation: verify add-cart functionality","Hook","Hook",""
